status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_no_shelf,91,91,121043,　２５°宝　純７２０ｍｌ,51492,3,3,51051,3,0,3,13,660,327,Z00,,,121043000::0:1202:0
oracle_no_shelf,91,91,121077,　２５°サッポロ焼酎　北極星４Ｌ,48170,8,8,56056,8,0,8,,,11,zz1,,,121077000::0:1202:8
oracle_no_shelf,91,91,121216,　３５°宝焼酎　タカラカップ２２０ｍｌ,48196,29,29,55951,29,0,29,,,11,zz1,,,121216000::0:1202:29
oracle_no_shelf,91,91,122171,○２０°いいちこ（麦）瓶１．８Ｌ,50320,1,1,56323,1,0,1,,,11,zz1,,,122171000::0:1330:1|122171900::::1
oracle_no_shelf,91,91,122264,　２０°わんこペット２．７Ｌ（麦）,50334,15,15,55989,15,0,15,,,11,zz1,,,122264000::0:1021:15
oracle_no_shelf,91,91,122455,　２５°なんこ７２０ｍｌ（芋）,50373,1,1,56324,1,0,1,,,327,Z00,,,122455000::0:1021:1|122455900::::1
oracle_no_shelf,91,91,122887,　２５°本格芋焼酎　伊七郎７２０ｍｌ,23592,45,45,55929,45,0,45,,,11,zz1,,,122887000::0:1006:45
oracle_no_shelf,91,91,122895,　２５°本格芋焼酎　伊七郎　１．８Ｌ,23593,17,17,55980,17,0,17,,,11,zz1,,,122895000::0:1006:17
oracle_no_shelf,91,91,122898,×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ,23594,9,9,56038,9,0,9,,,11,zz1,,,122898000::0:1006:9
oracle_no_shelf,91,91,122957,　２５°橙華１．８Ｌ（芋）,23604,4,4,56132,4,0,4,,,11,zz1,,,122957000::0:1021:4
oracle_no_shelf,91,91,123013,×２５°黒丸１．８Ｌ（芋）,23612,3,3,56166,3,0,3,,,11,zz1,,,123013000::0:1021:3
oracle_no_shelf,91,91,123261,×２５°西郷が里５Ｌ（芋）,25506,4,4,56134,4,0,4,,,11,zz1,,,123261000::0:1428:4|123261900::::4
oracle_no_shelf,91,91,123342,　３０°ニコニコ太郎１．８Ｌ（泡盛）,25528,4,4,56135,4,0,4,,,11,zz1,,,123342000::0:1330:4
oracle_no_shelf,91,91,123390,　２５°田苑　金ラベル９００ｍｌ（麦）,25535,10,10,56027,10,0,10,,,11,zz1,,,123390000::0:1202:10
oracle_no_shelf,91,91,123429,　２５°黒丸　黒７２０ｍｌ（芋）,25540,12,12,56000,12,0,12,,,11,zz1,,,123429000::0:1021:12
oracle_no_shelf,91,91,123478,　２５°薩摩一７２０ｍｌ（芋）,25548,30,30,55947,30,0,30,,,11,zz1,,,123478000::0:1202:30
oracle_no_shelf,91,91,123485,　２５°白鶴　本格麦焼酎　千夜一酔７２０ｍｌ,25553,7,7,56063,7,0,7,,,11,zz1,,,123485000::0:1021:7
oracle_no_shelf,91,91,123486,　２５°女帝　麦１．８Ｌ,25554,6,6,56083,6,0,6,,,327,Z00,,,123486000::0:1021:6
oracle_no_shelf,91,91,123488,×２５°金黒９００ｍｌ（芋）,25555,13,13,55995,13,0,13,,,11,zz1,,,123488000::0:1021:13
oracle_no_shelf,91,91,123569,　２５°いいちこ　深薫１．８Ｌ（麦）,25564,16,16,55983,16,0,16,,,11,zz1,,,123569000::0:1330:16
oracle_no_shelf,91,91,123908,　２０°西の星１．８Ｌ（麦）,27410,4,4,56137,4,0,4,,,327,Z00,,,123908000::0:1330:4
oracle_no_shelf,91,91,131264,　サントリー　レッド　１８０ｍｌ,27454,6,6,56086,6,0,6,,,11,zz1,,,131264000::0:1021:6
oracle_no_shelf,91,91,131524,　桜尾蒸留所　ソガイニ　７００ｍｌ,51740,1,1,56336,1,0,1,,,327,Z00,,,131524000::0:1202:0
oracle_no_shelf,91,91,131530,　御岳蒸留所　日置　Ｈｉｏｋｉ　１．８Ｌ瓶,29508,12,12,56004,12,0,12,,,11,zz1,,,131530000::0:1784:12
oracle_no_shelf,91,91,132022,　メーカーズマーク　１Ｌ,29517,9,9,56042,9,0,9,,,11,zz1,,,132022000::0:1021:9
oracle_no_shelf,91,91,132067,　ジョニーウォーカー　ブロンド　７００ｍｌ,29525,9,9,56043,9,0,9,,,327,Z00,,,132067000::0:1330:9
oracle_no_shelf,91,91,132069,　アイラミスト８年　アモンティリャードカスク　ミニセレクション１００ｍｌ,29526,1,1,56265,1,0,1,,,327,Z00,,,132069000::0:9999:1
oracle_no_shelf,91,91,132899,　ボウモア１２年　７００ｍｌ,31598,6,6,56089,6,0,6,,,11,zz1,,,132899000::0:1368:6
oracle_no_shelf,91,91,134001,　カミュＶＳＯＰエレガンス７００ｍｌ,33598,2,2,56216,2,0,2,,,11,zz1,,,134001000::0:1021:2
oracle_no_shelf,91,91,134023,　レミーマルタン　ＸＯ　エクセレンス　７００ｍｌ　（正規品）,33602,1,1,56271,1,0,1,,,11,zz1,,,134023000::0:1202:1
