status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,91,91,112194,　一本義　山田錦１．８Ｌ,37335,14,14,37098,8,0,8,,,644,C06102,C06102,C06102,112194000:C06102:0:1202:9
match,91,91,112194,　一本義　山田錦１．８Ｌ,37335,14,14,56564,6,0,6,820,53273,644,C06102,C06102,C06102,112194000:C06102:0:1202:9
match,91,91,112197,　富久駒一筆啓上　純米吟醸７２０ｍｌ（箱入）,37336,2,2,37099,2,0,2,,,1473,G05301,G05301,G05301,112197000:G05301:0:1166:5
match,91,91,112199,　梵ＧＯＬＤ（ゴールド）　無濾過純米大吟醸７２０ｍｌ,37337,12,0,37100,12,12,0,,,2550,W01203,W01203,W01203,112199000:W01203:0:1514:49
match,91,91,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,37338,105,81,37101,81,24,57,,,604,C01201,C01201,C01201,112203000:C01201:0:1202:98
match,91,91,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,37338,105,81,56565,24,0,24,820,53274,604,C01201,C01201,C01201,112203000:C01201:0:1202:98
match,91,91,112216,　越前岬　大吟醸１．８Ｌ,37339,3,3,37102,3,0,3,,,2109,I08107,I08107,I08107,112216000:I08107:0:1460:3
match,91,91,112217,　越前岬　大吟醸７２０ｍｌ,37340,7,7,37103,1,0,1,,,2105,I08103,I08103,I08103,112217000:I08103:0:1460:1
match,91,91,112217,　越前岬　大吟醸７２０ｍｌ,37340,7,7,52389,6,0,6,361,12490,2105,I08103,I08103,I08103,112217000:I08103:0:1460:1
match,91,91,112223,　北の庄本醸造　生酒３００ｍｌ,37341,3,3,37104,3,0,3,,,2495,Q00000,Q00000,Q00000,112223000:Q00000:0:1539:3
match,91,91,112229,　黒龍　純吟　いっちょらい１．８Ｌ,37342,78,75,51386,12,3,9,119,2326,497,B03103,B03103,B03103,112229000:B03103:0:2018:25
match,91,91,112229,　黒龍　純吟　いっちょらい１．８Ｌ,37342,78,75,51390,66,0,66,120,2337,497,B03103,B03103,B03103,112229000:B03103:0:2018:25
