status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
match,91,145014,　サッポロ　極ＺＥＲＯ３５０ｍｌ,AM101S,AM101S,AM101S,1,2928,2928,145014000:AM101S:0:1202:3720|145014100:AM101S:::3720|145014900:AM101S:::3720
match,91,145015,　キリンハートランド　樽１５Ｌ,AG30HT,AG30HT,AG30HT,2,6,8,145015000:AG30HT:0:1330:9
match,91,145017,　キリン　淡麗プラチナダブル３５０ｍｌ,AL102K,AL102K,AL102K,2,16872,16872,145017000:AL102K:0:1330:15216|145017100:AL102K:::15216|145017900:AL102K:::15216
match,91,145018,　キリン　淡麗プラチナダブル５００ｍｌ,AJ102K,AJ102K,AJ102K,3,4464,4464,145018000:AJ102K:0:1330:2880|145018100:AJ102K:::2880|145018900:AJ102K:::2880
match,91,145019,　サントリー　プレミアムモルツ　樽１５Ｌ,AH15PM,AH15PM,AH15PM,1,37,37,145019000:AH15PM:0:1021:47
match,91,145022,　サントリー　プレミアムモルツ　樽２０Ｌ,AF104P,AF104P,AF104P,2,135,134,145022000:AF104P:0:1021:116
match,91,145030,　網走ビール　流氷ドラフト３５０ｍｌ缶,Q00000,Q00000,Q00000,1,24,24,145030000:Q00000:0:1330:24
match,91,145060,　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ,AH30TZ,AH30TZ,AH30TZ,2,5232,5232,145060000:AH30TZ:0:1021:4944|145060100:AH30TZ:::4944|145060900:AH30TZ:::4944
match,91,146014,　ペローニ　ナストロアズーロ　樽１０Ｌ,AG42NA,AG42NA,AG42NA,1,2,2,146014000:AG42NA:0:1021:2
match,91,146190,　ドロミティピルスナー　瓶　３３０ｍｌ,L18304,L18304,L18304,1,31,31,146190000:L18304:0:1226:31
match,91,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,AL105K,AL105K,AL105K,1,14760,14760,147003000:AL105K:0:1330:17448|147003100:AL105K:::17448|147003400:AL105K:::17448|147003900:AL105K:::17448|147003901:AL105K::1330:17448
match,91,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,AJ103K,AJ103K,AJ103K,2,3840,3840,147004000:AJ103K:0:1330:3432|147004100:AJ103K:::3432|147004900:AJ103K:::3432
match,91,147017,　キリン　本麒麟３５０ｍｌ,AL103K,AL103K,AL103K,2,11310,11310,147017000:AL103K:0:1330:13752|147017100:AL103K:::13752|147017800:AL103K:::13752|147017900:AL103K:::13752
match,91,147043,　アサヒ　スタイルフリー３５０ｍｌ,AK105A,AK105A,AK105A,2,6888,6888,147043000:AK105A:0:1021:6528|147043100:AK105A:::6528|147043900:AK105A:::6528|147043901:AK105A::1021:6528
match,91,147066,　きらやか麦３５０ｍｌ,AK102K,AK102K,AK102K,1,13169,13169,147066000:AK102K:0:1290:0|147066100:AK102K:::0|147066900:AK102K:::0
match,91,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,AH30KO,AH30KO,AH30KO,2,5564,5564,147084000:AH30KO:0:1021:5952|147084100:AH30KO:::5952|147084300:AH30KO:::5952|147084900:AH30KO:::5952
match,91,147124,　サッポロ　麦とホップ３５０ｍｌ,AE302S,AE302S,AE302S,1,118,118,147124000:AE302S:0:1202:3000|147124100:AE302S:::3000|147124200:AE302S:::3000|147124900:AE302S:::3000|147124910:AE302S:::3000
match,91,147198,　アサヒ　クリアアサヒ　贅沢ゼロ３５０ｍｌ,AH30ZZ,AH30ZZ,AH30ZZ,1,4152,4152,147198000:AH30ZZ:0:1021:4632|147198100:AH30ZZ:::4632|147198900:AH30ZZ:::4632
match,91,147204,　きらやか麦　糖質７０％オフ３５０ｍｌ,AK101O,AK101O,AK101O,2,2448,2448,147204000:AK101O:0:1290:528|147204100:AK101O:::528|147204900:AK101O:::528
match,91,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ,AH30NZ,AH30NZ,AH30NZ,2,1872,1872,147213000:AH30NZ:0:1330:4080|147213100:AH30NZ:::4080|147213900:AH30NZ:::4080
match,91,147253,　サッポロ　ＧＯＬＤ　ＳＴＡＲ　ゴールドスター３５０ｍｌ,AE301S,AE301S,AE301S,1,4944,4944,147253000:AE301S:0:1202:5904|147253100:AE301S:::5904|147253800:AE301S:::5904|147253900:AE301S:::5904
match,91,147271,　サントリー　金麦　ザ・ラガー３５０ｍｌ,AI301U,AI301U,AI301U,2,3144,3144,147271000:AI301U:0:1021:3096|147271100:AI301U:::3096|147271800:AI301U:::3096|147271900:AI301U:::3096
match,91,148340,　サントリー　金麦　生樽１０Ｌ,AG30KM,AG30KM,AG30KM,1,1,1,148340000:AG30KM:0:1021:1
match,91,149005,　リーフマンス２５０ｍｌ,W06304,W06304,W06304,1,19,19,149005000:W06304:0:1202:19
match,91,149006,　イネディット３３０ｍｌ,W06301,W06301,W06301,1,13,13,149006000:W06301:0:1782:13|149006100:W06301:::13
match,91,149013,　シンハービール３３０ｍｌ,W06115,W06115,W06115,1,2,2,149013000:W06115:0:1021:5
match,91,149037,　ホフブロイオリジナル３３０ｍｌ,W06312,W06312,W06312,1,10,10,149037000:W06312:0:1202:10
match,91,149040,　ニュートン（青りんごビール）３３０ｍｌ,L19205,L19205,L19205,1,64,64,149040000:L19205:0:1202:64
match,91,149047,　バリハイ　３３０ｍｌ,W06303,W06303,W06303,1,7,7,149047000:W06303:0:1202:7
match,91,149057,　サタン・レッド３３０ｍｌ,W06305,W06305,W06305,1,30,30,149057000:W06305:0:1202:30
