lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
29473,29625,211339,211339,　アサヒドライゼロ３３４ｍｌ小瓶,ACTIVE,2327,0,,,10,364,AD204A,single_oracle_shelf,AD204A,211339000:AD204A:0:1021:2608|211339900:AD204A:::2608,skipped,already_matches,,,0,,0,0,0
35448,35627,142330,142330,　アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ,ACTIVE,2304,0,,,10,426,AH30DK,single_oracle_shelf,AH30DK,142330000:AH30DK:0:1021:2928|142330100:AH30DK:::2928|142330900:AH30DK:::2928,skipped,already_matches,,,0,,0,0,0
55078,40583,147204,147204,　きらやか麦　糖質７０％オフ３５０ｍｌ,ACTIVE,2304,0,656,50706,10,453,AK101O,single_oracle_shelf,AK101O,147204000:AK101O:0:1290:528|147204100:AK101O:::528|147204900:AK101O:::528,skipped,already_matches,,,0,,0,0,0
51275,51563,142642,142642,　サントリー　パーフェクトサントリービール　エールビール３５０ｍｌ,ACTIVE,2208,0,78,1993,11,327,Z00,oracle_no_shelf,,142642000::0:1021:0|142642100::::0|142642900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
33472,33640,141049,141049,◎サッポロ　黒ラベル　中瓶５００ｍｌ,ACTIVE,2173,26,,,10,362,AD202S,single_oracle_shelf,AD202S,141049000:AD202S:0:1202:2701|141049900:AD202S:::2701|141049901:AD202S::1202:2701,skipped,already_matches,,,0,,0,0,0
40290,40580,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,ACTIVE,2132,0,,,10,427,AH30KO,single_oracle_shelf,AH30KO,147084000:AH30KO:0:1021:5952|147084100:AH30KO:::5952|147084300:AH30KO:::5952|147084900:AH30KO:::5952,skipped,already_matches,,,0,,0,0,0
35436,35615,141314,141314,　キリン　晴れ風　中瓶５００ｍｌ,ACTIVE,2114,0,,,10,343,AB202K,single_oracle_shelf,AB202K,141314000:AB202K:0:1330:2159|141314100:AB202K:::2159|141314900:AB202K:::2159,skipped,already_matches,,,0,,0,0,0
37164,37411,143074,143074,◎サッポロ　黒ラベル　３５０ｍｌ,ACTIVE,2104,0,,,10,432,AH30SK,single_oracle_shelf,AH30SK,143074000:AH30SK:0:1202:7470|143074100:AH30SK:::7470|143074200:AH30SK:::7470|143074900:AH30SK:::7470|143074901:AH30SK:::7470,skipped,already_matches,,,0,,0,0,0
25565,25680,210245,210245,　わかさ瓜割の水５００ｍｌ,ACTIVE,2067,24,,,11,2748,R11101,manual_multiple_oracle_shelves,R11101|W10101,210245000:R11101:0:1433:2612|210245900:W10101:::2612,skipped,manual_multiple_oracle_shelves,,,0,,0,0,0
29475,29627,211351,211351,　ＩＢ　強炭酸水１Ｌ,ACTIVE,2039,10,,,11,2673,Z01101,single_oracle_shelf,Z01101,211351000:Z01101:0:1290:4003|211351100::::4003|211351900:Z01101:::4003,skipped,already_matches,,,0,,0,0,0
33476,33644,141077,141077,　サッポロ　ラガー　中瓶５００ｍｌ,ACTIVE,2039,30,,,10,346,AB302S,single_oracle_shelf,AB302S,141077000:AB302S:0:1202:2859|141077100:AB302S:::2859|141077900:AB302S:::2859,skipped,already_matches,,,0,,0,0,0
55909,21799,400000,400000,部システム ４００   分類打,ACTIVE,1996,0,,,11,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
33460,33628,141028,141028,◎キリン　ラガー　中瓶５００ｍｌ,ACTIVE,1949,2,,,10,348,AB304K,single_oracle_shelf,AB304K,141028000:AB304K:0:1330:2454|141028900:AB304K:::2454|141028901:AB304K::1330:2454,skipped,already_matches,,,0,,0,0,0
55066,33624,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,ACTIVE,1920,0,654,50674,10,334,AA102A,single_oracle_shelf,AA102A,141019000:AA102A:0:1021:5170|141019100:AA102A:::5170|141019200:AA102A:::5170|141019300:AA102A:::5170|141019900:AA102A:::5170|141019901:AA102A::1021:5170,skipped,already_matches,,,0,,0,0,0
21760,21786,185021,185021,　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,ACTIVE,1848,0,,,10,425,AH30AO,single_oracle_shelf,AH30AO,185021000:AH30AO:0:1021:4704|185021100:AH30AO:::4704|185021900:AH30AO:::4704,skipped,already_matches,,,0,,0,0,0
