lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
56576,52810,183053,183053,　紹興酒　塔牌　花彫　１８０ｍｌ,ACTIVE,20,0,825,53286,10,327,Z00,single_oracle_shelf,Q00000,183053000:Q00000:0:1202:0,planned,,2495,,0,,0,0,0
56720,52285,247275,247275,　ロッテ　トッポ２袋,ACTIVE,20,0,876,53857,10,327,Z00,single_oracle_shelf,I00000,247275000:I00000:0:1127:0,planned,,1810,,0,,0,0,0
55978,48331,173015,173015,　白鹿　酒蔵割烹酒パック２Ｌ,ACTIVE,18,0,,,10,327,Z00,oracle_no_shelf,,173015000::0:1021:18,skipped,oracle_no_shelf,,,0,,0,0,0
55979,48344,181033,181033,　万上　本みりん　割烹　１．８Ｌ,ACTIVE,18,0,,,10,327,Z00,oracle_no_shelf,,181033000::0:1202:18,skipped,oracle_no_shelf,,,0,,0,0,0
52056,51776,185094,185094,　アサヒ　贅沢搾り　キウイ３５０ｍｌ,ACTIVE,18,0,274,11717,,327,Z00,single_oracle_shelf,YC0000,185094000:YC0000:0:1021:0|185094900:YC0000:::0,planned,,2669,,0,,0,0,0
55969,23745,210000,210000,部システム ２１０ ,ACTIVE,18,0,,,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
55982,39030,224273,224273,　丸味食品　７種のミックスナッツ５００ｇ,ACTIVE,17,0,,,10,327,Z00,oracle_no_shelf,,224273000::0:1916:17,skipped,oracle_no_shelf,,,0,,0,0,0
55986,51737,215031,215031,　キリン　生茶　５２５ｍｌペット,ACTIVE,16,0,,,10,327,Z00,single_oracle_shelf,Q00000,215031000:Q00000:0:1330:0|215031100::::0|215031900::::0,planned,,2495,,0,,0,0,0
55065,52137,210619,210619,　森永　おいしい牛乳１Ｌ,ACTIVE,15,0,653,50667,10,327,Z00,single_oracle_shelf,AY0000,210619000:AY0000:0:1126:0,planned,,472,,0,,0,0,0
53619,51540,311243,311243,　若狭三方ビバレッジ　若狭梅酒・レモングラス梅酒　２００ｍｌセット,DEPLETED,15,0,518,27054,,327,Z00,single_oracle_shelf,YX0000,311243000:YX0000:0:1516:0,planned,,2671,,15,56690:15,0,0,0
53627,52233,116060,116060,　名城播州の地酒　辛口２Ｌパック,ACTIVE,12,0,522,27063,,327,Z00,single_oracle_shelf,YX0000,116060000:YX0000:0:1248:0|116060900:YX0000:::0,planned,,2671,,0,,0,0,0
53621,52094,119333,119333,　梵　艶　純米大吟醸７２０ｍｌ,DEPLETED,12,0,520,27056,,327,Z00,single_oracle_shelf,Q00000,119333000:Q00000:0:1514:0,planned,,2495,,12,56020:12,0,0,0
56020,52094,119333,119333,　梵　艶　純米大吟醸７２０ｍｌ,ACTIVE,12,0,,,10,327,Z00,single_oracle_shelf,Q00000,119333000:Q00000:0:1514:0,planned,,2495,,0,,0,0,0
52185,51477,119686,119686,　永平寺白龍　純米吉峯７２０ｍｌ,ACTIVE,12,0,303,12070,,327,Z00,oracle_no_shelf,,119686000::0:1263:0,skipped,oracle_no_shelf,,,0,,0,0,0
56014,46084,119731,119731,　雲乃井　純米大吟醸　瑞雲７２０ｍｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,119731000::0:1543:12,skipped,oracle_no_shelf,,,0,,0,0,0
52149,51773,119740,119740,　ツキガサ　純米吟醸　恐竜ラベル７２０ｍｌ,ACTIVE,12,0,294,11977,,327,Z00,oracle_no_shelf,,119740000::0:1741:0,skipped,oracle_no_shelf,,,0,,0,0,0
56665,51773,119740,119740,　ツキガサ　純米吟醸　恐竜ラベル７２０ｍｌ,ACTIVE,12,0,857,53442,10,327,Z00,oracle_no_shelf,,119740000::0:1741:0,skipped,oracle_no_shelf,,,0,,0,0,0
52184,51474,119758,119758,　永平寺白龍　純米吟醸生原酒７２０ｍｌ,ACTIVE,12,0,303,12069,,327,Z00,oracle_no_shelf,,119758000::0:1263:0,skipped,oracle_no_shelf,,,0,,0,0,0
56012,42494,151361,151361,　能登ワイン　ヤマソーヴィニヨン　７２０ｍｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,151361000::0:1021:12,skipped,oracle_no_shelf,,,0,,0,0,0
56013,42496,151370,151370,　能登ワイン　ヤマソービニヨン　３６０ｍｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,151370000::0:1021:12,skipped,oracle_no_shelf,,,0,,0,0,0
