real_stock_id	warehouse_id	item_id	item_code	item_name	current_quantity	reserved_quantity	parent_available_qty	lot_pickable_qty	missing_qty	reason	default_location_status	default_location_code	z00_code	z00_flags	z00_floor_id
5054	3	185021	185021	　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶	631	0	631	546	85	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
12334	4	147043	147043	　アサヒ　スタイルフリー３５０ｍｌ	693	0	693	610	83	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
23542	71	184145	184145	　サントリー　金麦５００ｍｌ	107	0	107	24	83	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
3387	3	147084	147084	　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ	785	0	785	704	81	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
22762	11	142627	142627	　キリン　晴れ風３５０ｍｌ	590	0	590	512	78	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
33621	91	140000	140000	部システム １４０   分類	76	0	76	0	76	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
23531	71	159118	159118	　アヴェント　オーガニック　ブリュット　７５０ｍｌ	135	0	135	60	75	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
51764	22	112103	112103	　黒龍　吟醸　いっちょらい３００ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	3
51565	91	210608	210608	　明治　明治フルーツ２２０ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
29611	91	211264	211264	　ウィルキンソン　タンサン５００ｍｌＰＥＴ	1223	0	1223	1151	72	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	L-20-104	Z-0-0	3	10
51498	91	212123	212123	　大塚　ポカリスエット　イオンウォーター５００ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	Q-00-000	Z-0-0	3	10
