status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_item_not_found,89,89,159095,　カンタラス　ソービニヨンブラン　７５０ｍｌ,33574,1728,1728,33409,1848,0,1848,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159096,　カンタラス　ヴェルデホ　７５０ｍｌ,33575,1992,1992,33410,1980,0,1980,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159104,　シャトードローサック　キュヴェラダム　７５０ｍｌ,33576,120,120,33411,120,0,120,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159106,　バーズオブパラダイス　オーガニック　カベルネソービニヨンリゼルヴァ　７５０ｍｌ,33577,2112,2112,33412,2112,0,2112,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159107,　バーズオブパラダイス　オーガニック　ピノノワール　レゼルヴァ　７５０ｍｌ,33578,720,720,33413,720,0,720,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159108,　バーズオブパラダイス　オーガニック　シャルドネ　レゼルヴァ　７５０ｍｌ,33579,420,420,33414,420,0,420,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159112,　レザレ　ド　セノザン　ピノノワール　７５０ｍｌ,33580,816,816,33415,828,0,828,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159113,　レザレ　ド　セノザン　シャルドネ　７５０ｍｌ,33581,300,300,33416,300,0,300,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159118,　アヴェント　オーガニック　ブリュット　７５０ｍｌ,33582,792,792,33417,792,0,792,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159121,　シャトー　メイヌ　デ　ヴァランス　’１０　７５０ｍｌ,33583,12,12,33418,12,0,12,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159124,　シャトー　ラ　フォンテーヌ　ジュナン　７５０ｍｌ,33584,480,480,33419,480,0,480,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159125,　シャトー　ベレール　ラ　クロット　７５０ｍｌ　,33585,24,24,33420,24,0,24,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159126,　フルール　ド　クルティヤック　７５０ｍｌ,33586,-12,-12,33421,-12,0,-12,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159127,　シャトー　プランス　ラーキー　７５０ｍｌ,33587,144,144,33422,144,0,144,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159130,　アヴァロール　ヴィニョヴェルデ　７５０ｍｌ,33588,12,12,33423,12,0,12,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159132,　シャトー　ブリュンデスパーニュ　エリタージュ　７５０ｍｌ,33589,204,204,33424,204,0,204,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159133,　シャトー　トゥーレル　７５０ｍｌ,33590,756,756,33425,888,0,888,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159135,　シャトー　センペイ　７５０ｍｌ,33591,564,564,33426,564,0,564,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159136,　アステール　ド　ボーリュー　７５０ｍｌ　,33592,1716,1716,33427,1728,0,1728,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159137,　シャトー　ダイギルケール　７５０ｍｌ,33593,312,312,33428,312,0,312,,,312,ZZ1100,,,
oracle_item_not_found,89,89,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,35551,1344,1344,35377,5376,0,5376,,,312,ZZ1100,,,
oracle_item_not_found,89,89,211351,　ＩＢ　強炭酸水１Ｌ,35552,3000,3000,35378,4500,0,4500,,,312,ZZ1100,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51581,3,0,3,149,9572,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51582,1,0,1,149,9573,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,51724,1,0,1,192,9850,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52420,1,0,1,374,12646,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52421,3,0,3,374,12647,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52543,1,0,1,390,13326,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,52662,1,0,1,413,13940,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,53630,1,0,1,523,27078,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55115,1,0,1,677,50840,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55124,1,0,1,680,50849,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55125,1,0,1,681,50850,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,55891,1,0,1,769,52206,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,56578,30,0,30,827,53290,327,Z00,,,
oracle_item_not_found,91,91,10001,　仕入経費（仕入送料）　外税,51634,47,47,56647,1,0,1,849,53379,327,Z00,,,
oracle_item_not_found,91,91,100015,　森永　フレッシュヘビィ４５,52128,1,1,53268,1,0,1,460,26398,327,Z00,,,
oracle_item_not_found,91,91,120000,部システム １２０ ,46089,41,41,55935,41,0,41,,,327,Z00,,,
oracle_item_not_found,91,91,140000,部システム １４０   分類,33621,76,76,55918,76,0,76,,,327,Z00,,,
oracle_item_not_found,91,91,160000,部システム １６０ ,38998,60,60,55923,60,0,60,,,327,Z00,,,
oracle_item_not_found,91,91,170000,部システム １７０ ,40664,7,7,56073,7,0,7,,,327,Z00,,,
oracle_item_not_found,91,91,210000,部システム ２１０ ,23745,18,18,55969,18,0,18,,,327,Z00,,,
oracle_item_not_found,91,91,260000,部システム ２６０ ,46256,34,34,55945,34,0,34,,,327,Z00,,,
oracle_item_not_found,91,91,400000,部システム ４００   分類打,21799,1996,1996,55909,1996,0,1996,,,327,Z00,,,
oracle_item_not_found,91,91,470000,　部システム４７０（化粧箱）,23792,1048,1048,55910,1048,0,1048,,,327,Z00,,,
oracle_item_not_found,92,92,470000,　部システム４７０（化粧箱）,37513,73307,73307,37258,73307,0,73307,,,314,ZZ1100,,,
oracle_item_not_found,98,98,10001,　仕入経費（仕入送料）　外税,51645,1,1,51613,1,0,1,164,9710,2707,Z00,,,
oracle_item_not_found,98,98,10001,　仕入経費（仕入送料）　外税,51645,1,1,52043,-2,0,-2,270,11698,2707,Z00,,,
oracle_item_not_found,98,98,10001,　仕入経費（仕入送料）　外税,51645,1,1,52047,2,0,2,272,11705,2707,Z00,,,
oracle_item_not_found,98,98,470000,　部システム４７０（化粧箱）,33800,19,19,33626,19,0,19,,,9,ZZ1100,,,
oracle_item_not_found,100,100,722021,　空容器　ビール樽１０Ｌ,52142,10,10,53340,10,0,10,346,26489,2791,Z00,,,
oracle_item_not_found,100,100,722023,　空容器　ビール樽１９Ｌ,52141,1,1,53339,1,0,1,346,26488,2791,Z00,,,
