location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,156754,156754,　モンテベッロ　サンジョヴェーゼ　デルルビコーネ　１．５Ｌ,29578,29429,ACTIVE,1,0,2113,11,I-08-113,I08113,I08113
default,156758,156758,　フランソワラベ　ピノノワール　７５０ｍｌ,,24956,,,,327,11,Z-0-0,Z00,デフォルト
lot,156758,156758,　フランソワラベ　ピノノワール　７５０ｍｌ,29579,56139,ACTIVE,4,0,327,11,Z-0-0,Z00,デフォルト
default,156760,156760,　ロッコセッコ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,,31337,,,,1909,11,I-03-410,I03410,I03410
lot,156760,156760,　ロッコセッコ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,29580,29430,ACTIVE,3,0,1909,11,I-03-410,I03410,I03410
default,156763,156763,×カリテラ　レセルヴァ　シャルドネ　３７５ｍｌ,,4088,,,,327,11,Z-0-0,Z00,デフォルト
lot,156763,156763,×カリテラ　レセルヴァ　シャルドネ　３７５ｍｌ,29581,55965,ACTIVE,20,0,327,11,Z-0-0,Z00,デフォルト
default,156780,156780,　モンテベッロ　トレッビアーノ　デルルビコーネ　１．５Ｌ,,32260,,,,2110,11,I-08-109,I08109,I08109
lot,156780,156780,　モンテベッロ　トレッビアーノ　デルルビコーネ　１．５Ｌ,29582,29431,ACTIVE,4,0,2110,11,I-08-109,I08109,I08109
default,156790,156790,　コノスル　カベルネソーヴィニヨン　７５０ｍｌ,,21490,,,,485,11,B-02-103,B02103,B02103
lot,156790,156790,　コノスル　カベルネソーヴィニヨン　７５０ｍｌ,29583,29432,ACTIVE,49,0,485,11,B-02-103,B02103,B02103
lot,156790,156790,　コノスル　カベルネソーヴィニヨン　７５０ｍｌ,29583,55872,ACTIVE,-1,0,485,11,B-02-103,B02103,B02103
default,156792,156792,　カッシェロ　デルディアブロ　カベルネソーヴィニヨン７５０ｍｌ,,25481,,,,1083,11,E-10-317,E10317,E10317
lot,156792,156792,　カッシェロ　デルディアブロ　カベルネソーヴィニヨン７５０ｍｌ,29584,29433,ACTIVE,6,0,1083,11,E-10-317,E10317,E10317
default,156804,156804,　マプ　ソービニヨンブラン　シャルドネ　７５０,,40777,,,,1927,11,I-04-102,I04102,I04102
lot,156804,156804,　マプ　ソービニヨンブラン　シャルドネ　７５０,29585,29434,ACTIVE,13,0,1927,11,I-04-102,I04102,I04102
default,156806,156806,　コノスル　メルロー　７５０ｍｌ,,36934,,,,488,11,B-02-106,B02106,B02106
lot,156806,156806,　コノスル　メルロー　７５０ｍｌ,31599,31446,ACTIVE,28,0,488,11,B-02-106,B02106,B02106
default,156807,156807,　マプ　カベルネ　カルメネール　７５０ｍｌ,,44478,,,,1872,11,I-03-105,I03105,I03105
lot,156807,156807,　マプ　カベルネ　カルメネール　７５０ｍｌ,31600,31447,ACTIVE,13,0,1872,11,I-03-105,I03105,I03105
default,156820,156820,　コノスル　ピノノワール　７５０ｍｌ,,36953,,,,486,11,B-02-104,B02104,B02104
lot,156820,156820,　コノスル　ピノノワール　７５０ｍｌ,31601,31448,ACTIVE,40,0,486,11,B-02-104,B02104,B02104
lot,156820,156820,　コノスル　ピノノワール　７５０ｍｌ,31601,55873,ACTIVE,-1,0,486,11,B-02-104,B02104,B02104
default,156825,156825,　ラ　フォルジュ　シャルドネ　７５０ｍｌ,,28269,,,,2078,11,I-07-301,I07301,I07301
lot,156825,156825,　ラ　フォルジュ　シャルドネ　７５０ｍｌ,31602,31449,ACTIVE,21,0,2078,11,I-07-301,I07301,I07301
default,156826,156826,　ラ　フォルジュ　カベルネソーヴィニヨン　７５０ｍｌ,,28418,,,,2081,11,I-07-304,I07304,I07304
lot,156826,156826,　ラ　フォルジュ　カベルネソーヴィニヨン　７５０ｍｌ,31603,31450,ACTIVE,11,0,2081,11,I-07-304,I07304,I07304
default,156832,156832,　コノスル　シラー　７５０ｍｌ,,36997,,,,489,11,B-02-107,B02107,B02107
lot,156832,156832,　コノスル　シラー　７５０ｍｌ,31604,31451,ACTIVE,18,0,489,11,B-02-107,B02107,B02107
default,156836,156836,　デコイ　メルロ　７５０ｍｌ,,27043,,,,1895,11,I-03-310,I03310,I03310
lot,156836,156836,　デコイ　メルロ　７５０ｍｌ,31605,31452,ACTIVE,9,0,1895,11,I-03-310,I03310,I03310
lot,156865,156865,　ラデラ　ヴェルデ　レッド　１．５Ｌ,51468,51201,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
lot,156876,156876,　コセチャ　カベルネソービニヨン　７５０ｍｌ,52613,55865,ACTIVE,120,0,327,11,Z-0-0,Z00,デフォルト
default,156889,156889,　アルベールビショー　ブルゴーニュシャルドネ　ＶＶ　７５０ｍｌ,,29937,,,,327,11,Z-0-0,Z00,デフォルト
lot,156889,156889,　アルベールビショー　ブルゴーニュシャルドネ　ＶＶ　７５０ｍｌ,31606,56006,ACTIVE,12,0,327,11,Z-0-0,Z00,デフォルト
