item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
119774,6,,,,Z00,mysql_location_but_oracle_no_shelf
120000,41,,,,Z00,mysql_location_but_oracle_no_shelf
121043,3,,,,Z00,mysql_location_but_oracle_no_shelf
121077,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
121109,,,,Z00,,mysql_location_but_oracle_no_shelf
121216,29,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122171,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122264,15,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122455,1,,,,Z00,mysql_location_but_oracle_no_shelf
122768,-2,,,Z00,,mysql_location_but_oracle_no_shelf
122870,,,,Z00,,mysql_location_but_oracle_no_shelf
122887,45,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122895,17,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122898,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122957,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123013,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123261,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123342,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123370,-8,,,Z00,,mysql_location_but_oracle_no_shelf
123390,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123429,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123478,30,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123485,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123486,6,,,,Z00,mysql_location_but_oracle_no_shelf
123488,13,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123569,16,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123908,4,,,,Z00,mysql_location_but_oracle_no_shelf
131264,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
131524,1,,,,Z00,mysql_location_but_oracle_no_shelf
131530,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
131534,,,,Z00,,mysql_location_but_oracle_no_shelf
132022,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
132067,9,,,,Z00,mysql_location_but_oracle_no_shelf
132069,1,,,,Z00,mysql_location_but_oracle_no_shelf
132224,,,,Z00,,mysql_location_but_oracle_no_shelf
132383,,,,Z00,,mysql_location_but_oracle_no_shelf
132395,,,,Z00,,mysql_location_but_oracle_no_shelf
132893,,,,Z00,,mysql_location_but_oracle_no_shelf
132899,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
133034,,,,Z00,,mysql_location_but_oracle_no_shelf
134001,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
134023,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
140000,76,,,,Z00,mysql_location_but_oracle_no_shelf
141043,,B01102|YX0000,,,,missing_mysql_default
141336,100,,,,AG30SN|Z00,mysql_location_but_oracle_no_shelf
142388,,,,Z00,,mysql_location_but_oracle_no_shelf
142453,6,,,,Z00,mysql_location_but_oracle_no_shelf
142606,,,,Z00,,mysql_location_but_oracle_no_shelf
143201,-1,,,,Z00,mysql_location_but_oracle_no_shelf
143333,1,,,,Z00,mysql_location_but_oracle_no_shelf
147044,,K08301|Q00000,,,,missing_mysql_default
149293,,,,Z00,,mysql_location_but_oracle_no_shelf
149322,,,,Z00,,mysql_location_but_oracle_no_shelf
149868,,,,Z00,,mysql_location_but_oracle_no_shelf
150000,152,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151031,,,,Z00,,mysql_location_but_oracle_no_shelf
151034,,,,Z00,,mysql_location_but_oracle_no_shelf
151049,,,,Z00,,mysql_location_but_oracle_no_shelf
151054,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151055,,,,Z00,,mysql_location_but_oracle_no_shelf
151056,,,,Z00,,mysql_location_but_oracle_no_shelf
151072,,,,Z00,,mysql_location_but_oracle_no_shelf
151106,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151115,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151152,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151153,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151165,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151217,,,,Z00,,mysql_location_but_oracle_no_shelf
151230,,,,Z00,,mysql_location_but_oracle_no_shelf
151231,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151245,,,,Z00,,mysql_location_but_oracle_no_shelf
151257,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151258,16,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151268,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151307,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151343,,,,Z00,,mysql_location_but_oracle_no_shelf
151350,13,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151361,12,,,,Z00,mysql_location_but_oracle_no_shelf
151370,12,,,,Z00,mysql_location_but_oracle_no_shelf
151382,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151397,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151446,,,,Z00,,mysql_location_but_oracle_no_shelf
151489,,,,Z00,,mysql_location_but_oracle_no_shelf
151490,,,,Z00,,mysql_location_but_oracle_no_shelf
151542,,,,Z00,,mysql_location_but_oracle_no_shelf
151543,,,,Z00,,mysql_location_but_oracle_no_shelf
151607,-5,,,Z00,,mysql_location_but_oracle_no_shelf
151658,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151659,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151672,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151673,,,,Z00,,mysql_location_but_oracle_no_shelf
151683,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
151688,11,,,,Z00,mysql_location_but_oracle_no_shelf
152070,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152107,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152145,3,,,,Z00,mysql_location_but_oracle_no_shelf
152225,,,,Z00,,mysql_location_but_oracle_no_shelf
152380,16,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152407,0,,,Z00,,mysql_location_but_oracle_no_shelf
152419,0,,,Z00,,mysql_location_but_oracle_no_shelf
152435,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152491,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152512,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
