store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,111232,111232000,,,0,1761,0
91,111233,111233000,,,0,1002,0
91,111234,111234000,,,0,1002,0
91,111235,111235000,,,0,1021,0
91,111236,111236000,,,0,1202,0
91,111237,111237000,,,0,1002,0
91,111238,111238000,,,0,1002,0
91,111239,111239000,Z01102,Z01102,0,1330,47
91,111239,111239100,,,,,47
91,111239,111239200,,,,,47
91,111239,111239300,,,,,47
91,111239,111239900,,,,,47
91,111240,111240000,,,0,1385,0
91,111241,111241000,,,0,1330,0
91,111242,111242000,,,0,1021,0
91,111243,111243000,,,0,0000,0
91,111244,111244000,,,0,0000,0
91,111245,111245000,,,0,0000,0
91,111246,111246000,,,0,0000,0
91,111247,111247000,,,0,0000,0
91,111248,111248000,W08101,W08101,0,1202,195
91,111249,111249000,,,0,0000,0
91,111250,111250000,,,0,0000,0
91,111251,111251000,,,0,0000,0
91,111254,111254000,,,0,0000,0
91,111255,111255000,,,0,0000,0
91,111256,111256000,,,0,0000,0
91,111257,111257000,,,0,0000,0
91,111258,111258000,,,0,1330,0
91,111259,111259000,,,0,0000,0
91,111260,111260000,,,0,0000,0
91,111261,111261000,,,0,0000,0
91,111262,111262000,,,0,1385,0
91,111263,111263000,,,0,1021,0
91,111264,111264000,,,0,1385,0
91,111265,111265000,,,0,1385,0
91,111266,111266000,,,0,1330,0
91,111267,111267000,,,0,1021,0
91,111268,111268000,,,0,1202,0
91,111269,111269000,,,0,1761,0
91,111270,111270000,,,0,1021,0
91,111271,111271000,YX0000,YX0000,0,1202,0
91,111272,111272000,,,0,1330,0
91,111273,111273000,,,0,1202,0
91,111274,111274000,,,0,1202,0
91,111275,111275000,,,0,1021,0
91,111276,111276000,,,0,1021,0
91,111276,111276100,,,,,0
91,111277,111277000,,,0,1021,0
91,111277,111277100,,,0,1021,0
91,111278,111278000,,,0,1330,0
91,111279,111279000,,,0,1202,0
91,111280,111280000,,,0,1330,0
91,111281,111281000,,,0,1202,0
91,111282,111282000,,,0,1021,0
91,111283,111283000,,,0,1021,0
91,111284,111284000,,,0,1330,0
91,111285,111285000,,,0,1021,0
91,111286,111286000,,,0,1202,0
91,111287,111287000,,,0,1202,0
91,111288,111288000,,,0,0000,0
91,111289,111289000,,,0,1202,0
91,111289,111289900,W07201,W07201,,,0
91,111290,111290000,,,0,0000,0
91,111291,111291000,,,0,0000,0
91,111292,111292000,,,0,1330,0
91,111293,111293000,,,0,0000,0
91,111294,111294000,,,0,0000,0
91,111295,111295000,,,0,1021,0
91,111296,111296000,,,0,1021,0
91,111297,111297000,,,0,1202,0
91,111299,111299000,G06105,G06105,0,1021,5
91,111300,111300000,,,0,1330,0
91,111301,111301000,,,0,1202,0
91,111302,111302000,,,0,1202,0
91,111303,111303000,,,0,1202,0
91,111304,111304000,,,0,1002,0
91,111305,111305000,,,0,1330,0
91,111306,111306000,,,0,1330,0
91,111307,111307000,,,0,1002,0
91,111308,111308000,,,0,9999,0
91,111309,111309000,,,0,1202,0
91,111310,111310000,,,0,9999,0
91,111311,111311000,,,0,9999,0
91,111312,111312000,,,0,9999,0
91,111313,111313000,,,0,1330,0
91,111314,111314000,,,0,9999,0
91,111315,111315000,,,0,1021,0
91,111316,111316000,,,0,1021,0
91,111317,111317000,,,0,1202,0
91,111318,111318000,,,0,1021,0
91,111319,111319000,,,0,1761,0
91,111320,111320000,,,0,1202,0
91,111321,111321000,,,0,1002,0
91,111322,111322000,,,0,1202,0
91,111323,111323000,,,0,1761,0
