real_stock_id	item_id	item_code	item_name	current_quantity	reserved_quantity	available_quantity	patch_location_id	patch_floor_id	patch_location_code
40528	112819	112819	　関西　佳撰　生貯蔵酒３００ｍｌ	25	0	25	10	10	ZZ-1
21761	184587	184587	　キリン　氷結　ウメ　５００ｍｌ	24	0	24	10	10	ZZ-1
27576	211075	211075	　サントリー　ペプシ生　ＢＩＧ　ＣＯＬＡ６００ｍｌペット	24	0	24	327	10	Z-0-0
35720	215017	215017	　サントリー　烏龍茶　缶３４０ｇ	24	0	24	10	10	ZZ-1
35731	215086	215086	　アサヒ　旨みの日本茶６００ｍｌ	24	0	24	327	10	Z-0-0
38976	159008	159008	×プレザンス　カベルネソーヴィニヨン　７５０ｍｌ	24	0	24	327	10	Z-0-0
42509	171124	171124	　若狭三方ビバレッジ　ＢＥＮＩＣＨＵ１７°　ＯＵＴ　ＤＯＯＲ２００ｍｌ	24	0	24	2671	10	YX-0-000
44254	119345	119345	　完売　永平寺白龍　ドラゴンウォーター　うすにごりミルキー７２０ｍｌ	24	0	24	10	10	ZZ-1
46246	251040	251040	　アサヒ　ウィルキンソン　タグソバー　レモンジンジャー３５０ｍｌ	24	0	24	10	10	ZZ-1
50425	181372	181372	　サントリー　ほろよい　青いサワー３５０ｍｌ	24	0	24	327	10	Z-0-0
35773	722058	722058	　空容器　オリオンビール樽２０Ｌ	23	0	23	327	10	Z-0-0
23708	155253	155253	　ラシャス　ポワレフレッシュ　７５０ｍｌ	21	0	21	10	10	ZZ-1
29559	156631	156631	×カリテラ　レゼルヴァ　シャルドネ　７５０ｍｌ	20	0	20	10	10	ZZ-1
29581	156763	156763	×カリテラ　レセルヴァ　シャルドネ　３７５ｍｌ	20	0	20	10	10	ZZ-1
50428	182012	182012	　チョーヤ　梅酒　プラＱ　１６０ｍｌ	20	0	20	327	10	Z-0-0
33697	157751	157751	　カステルカンブラス　白　７５０ｍｌ	19	0	19	10	10	ZZ-1
23745	210000	210000	部システム ２１０ 	18	0	18	327	10	Z-0-0
25603	155406	155406	　アンジュエール　白　７５０ｍｌ	18	0	18	10	10	ZZ-1
33691	157659	157659	　カステルカンブラス　赤　７５０ｍｌ	18	0	18	10	10	ZZ-1
42471	151115	151115	　ＪＡ三方五湖　梅ワイン（ロゼ）　５００ｍｌ	18	0	18	10	10	ZZ-1
42481	151165	151165	　白山　霧晴　７５０ｍｌ	18	0	18	10	10	ZZ-1
44262	151382	151382	　白山ワイン　ｄａｎｄａｎ　ロゼ　３６０ｍｌ	18	0	18	10	10	ZZ-1
44363	171751	171751	　富久駒一筆啓上　柚子の酒５００ｍｌ（ケース無し）	18	0	18	10	10	ZZ-1
46142	152670	152670	　ベンド　シャルドネ　７５０ｍｌ	18	0	18	10	10	ZZ-1
48331	173015	173015	　白鹿　酒蔵割烹酒パック２Ｌ	18	0	18	327	10	Z-0-0
48344	181033	181033	　万上　本みりん　割烹　１．８Ｌ	18	0	18	327	10	Z-0-0
23593	122895	122895	　２５°本格芋焼酎　伊七郎　１．８Ｌ	17	0	17	10	10	ZZ-1
23685	155166	155166	　サントリー　ポンパドール　ライチ　７５０ｍｌ	17	0	17	10	10	ZZ-1
25564	123569	123569	　２５°いいちこ　深薫１．８Ｌ（麦）	16	0	16	10	10	ZZ-1
35772	722052	722052	　空容器サントリー　樽１５Ｌ	16	0	16	10	10	ZZ-1
42489	151258	151258	　メルシャン　ビストロ　ボックス　赤パック　１．８Ｌ	16	0	16	10	10	ZZ-1
46110	152380	152380	×カルベ　メドック　赤　３７５ｍｌ	16	0	16	10	10	ZZ-1
35587	111897	111897	　大関ワンカップミニ１００ｍｌ	15	0	15	10	10	ZZ-1
38974	158973	158973	　ベンド　カベルネソービニヨン　７５０ｍｌ	15	0	15	10	10	ZZ-1
39030	224273	224273	　丸味食品　７種のミックスナッツ５００ｇ	15	0	15	327	10	Z-0-0
50334	122264	122264	　２０°わんこペット２．７Ｌ（麦）	15	0	15	10	10	ZZ-1
50403	153595	153595	×サンタヘレナ　シグロ　カベルネソービニヨン　３７５ｍｌ	15	0	15	10	10	ZZ-1
21717	154749	154749	　ドメーヌ　フランソワ　ヴィラール　ヴィオニエ　７５０ｍｌ	14	0	14	10	10	ZZ-1
38894	112539	112539	　永平寺白龍　純米酒７２０ｍｌ	14	0	14	10	10	ZZ-1
42532	171237	171237	　梅乃宿　甘くておいしいキャロット＆オレンジ１．８Ｌ	14	0	14	10	10	ZZ-1
44368	171764	171764	　富久駒　一筆啓上　梅の酒５００ｍｌ（ケース無し）	14	0	14	10	10	ZZ-1
25555	123488	123488	×２５°金黒９００ｍｌ（芋）	13	0	13	10	10	ZZ-1
25607	155411	155411	　アンジュエール　ロゼ　７５０ｍｌ	13	0	13	10	10	ZZ-1
42493	151350	151350	　白山ワイナリー　Ｄｓｔｙｌｅ　７２０ｍｌ	13	0	13	10	10	ZZ-1
44242	119168	119168	　雲乃井　純米吟醸生貯　東雲３００ｍｌ	13	0	13	10	10	ZZ-1
23796	471012	471012	　越の鷹　７２０ｍｌ　共通カートン１枚	12	0	12	327	10	Z-0-0
25540	123429	123429	　２５°黒丸　黒７２０ｍｌ（芋）	12	0	12	10	10	ZZ-1
25593	155346	155346	　サントリー　ポンパドール　ストロベリー　７５０ｍｌ	12	0	12	10	10	ZZ-1
25613	155455	155455	×ネブリナ　スパークリング　７５０ｍｌ	12	0	12	10	10	ZZ-1
25627	155569	155569	　ニコラ　フィアット　ロゼ　ファースト　ブルーム　オブ　サクラ　７５０ｍｌ	12	0	12	10	10	ZZ-1
29508	131530	131530	　御岳蒸留所　日置　Ｈｉｏｋｉ　１．８Ｌ瓶	12	0	12	10	10	ZZ-1
29560	156639	156639	　シャプティエ　コートデュローヌ　ルージュ　ペルルーシュ　７５０ｍｌ	12	0	12	327	10	Z-0-0
31606	156889	156889	　アルベールビショー　ブルゴーニュシャルドネ　ＶＶ　７５０ｍｌ	12	0	12	10	10	ZZ-1
35757	722009	722009	　空容器　サントリー樽１０Ｌ	12	0	12	10	10	ZZ-1
37369	112411	112411	　小浜酒造純米わかさ７２０ｍｌ	12	0	12	10	10	ZZ-1
38995	159131	159131	　ドメーヌ　ラ　ガルレ　フェランダ　７５０ｍｌ	12	0	12	10	10	ZZ-1
38997	159137	159137	　シャトー　ダイギルケール　７５０ｍｌ	12	0	12	10	10	ZZ-1
40716	231511	231511	　直源　丸庄印　醤油１．８Ｌペット	12	0	12	10	10	ZZ-1
42490	151268	151268	　白山ワイン　梅スパークリング　７５０ｍｌ	12	0	12	10	10	ZZ-1
42494	151361	151361	　能登ワイン　ヤマソーヴィニヨン　７２０ｍｌ	12	0	12	327	10	Z-0-0
42496	151370	151370	　能登ワイン　ヤマソービニヨン　３６０ｍｌ	12	0	12	327	10	Z-0-0
46084	119731	119731	　雲乃井　純米大吟醸　瑞雲７２０ｍｌ	12	0	12	327	10	Z-0-0
46132	152512	152512	　レニャー　シャブリ　サンピエール　７５０ｍｌ	12	0	12	10	10	ZZ-1
50416	153744	153744	　デロー　レゼルヴ　赤　７５０ｍｌ	12	0	12	10	10	ZZ-1
51470	171880	171880	　梵　ゆずリキュール５００ｍｌ	12	0	12	327	10	Z-0-0
51493	212087	212087	　大塚　ポカリスエット　イオンウォーター９００ｍｌ	12	0	12	327	10	Z-0-0
