status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,lot,154752,　プリモフィオーレ　サンジョベーゼ　７５０ｍｌ,91,21696,8,0,1916,I03420,I03420,I03420,154752000:I03420:0:1138
match,lot,154809,　クインテッサ　イルミネーション　７５０ｍｌ,91,21697,3,0,2294,I14414,I14414,I14414,154809000:I14414:0:1313
oracle_no_shelf,lot,154895,　フィリップ　ル　アルディ　サン　トーバン　ブラン　７５０ｍｌ,91,56082,6,0,11,zz1,,,154895000::0:1423
match,lot,154982,　ネブリナ　シャルドネ　７５０ｍｌ,91,21698,20,0,716,D06204,D06204,D06204,154982000:D06204:0:1002
match,lot,155002,　ガンチア　アスティスプマンテ　３７５ｍｌ,91,21699,28,0,2037,I06102,I06102,I06102,155002000:I06102:0:1002
match,lot,155004,　セグラヴュータス　ブリュットレゼルバ　７５０ｍｌ,91,21700,10,0,2255,I13409,I13409,I13409,155004000:I13409:0:1330
oracle_no_shelf,lot,155005,　ロジャーグラート　カヴァ　グランキュヴェ　７５０ｍｌ,91,56202,2,0,327,Z00,,,155005000::0:1004
match,lot,155009,　モエ＆ＣＨ　ブリュットアンペリアル　７５０ｍｌ,91,21701,35,0,2298,I15202,I15202,I15202,155009000:I15202:0:1202
match,lot,155010,　ランソン　ブラッククリエイション　ギフトボックス　７５０ｍｌ,91,21702,3,0,1964,I04320,I04320,I04320,155010000:I04320:0:1138
match,lot,155019,　コノスル　スパークリング　ブリュット　７５０ｍｌ,91,21703,23,0,2269,I14201,I14201,I14201,155019000:I14201:0:1002
match,lot,155021,　ドンペリニョン　ロゼ　箱無し　７５０ｍｌ,91,21704,5,0,2169,I09309,I09309,I09309,155021000:I09309:0:1202
match,lot,155024,　モエ＆ＣＨ　ブリュットアンペリアル　３７５ｍｌ,91,21705,15,0,2039,I06104,I06104,I06104,155024000:I06104:0:1202
match,lot,184376,　キリン　本搾り　レモン５００ｍｌ,91,21706,24,0,2669,YC0000,YC0000,YC0000,184376000:YC0000:0:1330|184376100:YC0000::|184376900:YC0000::
match,lot,184378,　宝スッキリ果実のお酒　白桃２５０ｍｌ,91,21707,111,0,808,E04105,E04105,E04105,184378000:E04105:0:1202|184378900:E04105::1202
match,lot,184388,　スミノフアイス　ブリスクレモネード２７５ｍｌ,91,21708,12,0,2460,L19304,L19304,L19304,184388000:L19304:0:1330|184388900:::
match,lot,184391,　タカラ　カンチューハイ　レモン３５０ｍｌ,91,21709,726,0,470,AP204K,AP204K,AP204K,184391000:AP204K:0:1202|184391100:AP204K::1202|184391900:AP204K::1202
match,lot,184401,　キリン　氷結　シャルドネスパークリング　３５０ｍｌ,91,21710,10,0,1632,H04110,H04110,H04110,184401000:H04110:0:1330|184401900:::
match,lot,184408,　アサヒ　贅沢搾り　レモン３５０ｍｌ,91,21711,52,0,1291,G01112,G01112,G01112,184408000:G01112:0:1021|184408900:G01112::
match,lot,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,91,21712,1266,0,262,AP101Z,AP101Z,AP101Z,184409000:AP101Z:0:1330|184409100:AP101Z::|184409900:AP101Z::
match,lot,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,91,51041,1686,0,262,AP101Z,AP101Z,AP101Z,184409000:AP101Z:0:1330|184409100:AP101Z::|184409900:AP101Z::
match,lot,184410,　サントリー　トリスハイボール　濃いめ３５０ｍｌ,91,21713,6,0,2495,Q00000,Q00000,Q00000,184410000:Q00000:0:1021|184410100:::|184410200:::|184410900:::
match_one_of_multiple,lot,184416,　アサヒ　贅沢搾り　グレープフルーツ３５０ｍｌ,91,21714,96,0,1634,H04113,G02208|H04113,G02208|H04113,184416000:H04113:0:1021|184416900:G02208::
