status,source,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,ref_count,total_current,total_available,oracle_products
match,default,112182,　舞美人純米酒７２０ｍｌ,Q00000,Q00000,Q00000,1,0,0,112182000:Q00000:0:1536
match,default,112194,　一本義　山田錦１．８Ｌ,C06102,C06102,C06102,1,0,0,112194000:C06102:0:1202
match,default,112197,　富久駒一筆啓上　純米吟醸７２０ｍｌ（箱入）,G05301,G05301,G05301,1,0,0,112197000:G05301:0:1166
match,default,112199,　梵ＧＯＬＤ（ゴールド）　無濾過純米大吟醸７２０ｍｌ,W01203,W01203,W01203,1,0,0,112199000:W01203:0:1514
match,default,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,C01201,C01201,C01201,1,0,0,112203000:C01201:0:1202
match,default,112216,　越前岬　大吟醸１．８Ｌ,I08107,I08107,I08107,1,0,0,112216000:I08107:0:1460
match,default,112217,　越前岬　大吟醸７２０ｍｌ,I08103,I08103,I08103,1,0,0,112217000:I08103:0:1460
match,default,112223,　北の庄本醸造　生酒３００ｍｌ,Q00000,Q00000,Q00000,1,0,0,112223000:Q00000:0:1539
match,default,112229,　黒龍　純吟　いっちょらい１．８Ｌ,B03103,B03103,B03103,1,0,0,112229000:B03103:0:2018
match,default,112243,　一乃谷上撰１．８Ｌ,E08210,E08210,E08210,1,0,0,112243000:E08210:0:1572
match,default,112257,　黒龍大吟醸　しずく１．８Ｌ,YX0000,YX0000,YX0000,1,0,0,112257000:YX0000:0:2018
match,default,112265,　一乃谷吟醸　生貯蔵酒３００ｍｌ,W05102,W05102,W05102,1,0,0,112265000:W05102:0:1572
match,default,112266,　北の庄　上撰１．８Ｌ,E10106,E10106,E10106,1,0,0,112266000:E10106:0:1539|112266100:E10106::|112266200:E10106::
match,default,112270,　黒龍大吟醸　石田屋７２０ｍｌ,YX0000,YX0000,YX0000,1,0,0,112270000:YX0000:0:2018
match,default,112278,　華の香越前越前　瓶１．８Ｌ,D09101,D09101,D09101,1,0,0,112278000:D09101:0:1012|112278001:D09101::|112278900:D09101::|112278901:D09101::
match,default,112280,　越の鷹上撰１．８Ｌ,F01204,F01204,F01204,1,0,0,112280000:F01204:0:1181
match,default,112281,　越の鷹純米酒７２０ｍｌ,H05311,H05311,H05311,1,0,0,112281000:H05311:0:1181
match,default,112283,　越の鷹純米酒１．８Ｌ,W06101,W06101,W06101,1,0,0,112283000:W06101:0:1181
match,default,112285,　越の鷹薫酒　純米吟醸７２０ｍｌ,E11308,E11308,E11308,1,0,0,112285000:E11308:0:1181
match,default,112291,　梵ＧＯＬＤ（ゴールド）　無濾過純米大吟醸１．８Ｌ,I09112,I09112,I09112,1,0,0,112291000:I09112:0:1514
match,default,112303,　富久駒本醸造　丸岡城７２０ｍｌ,G06301,G06301,G06301,1,0,0,112303000:G06301:0:1166
match,default,112307,　梵艶　純米大吟醸３００ｍｌ,I09102,I09102,I09102,1,0,0,112307000:I09102:0:1514
match,default,112312,　一乃谷上撰辛口１．８Ｌ,C03105,C03105,C03105,1,0,0,112312000:C03105:0:1572
match,default,112314,　永平寺白龍　別誂１．８Ｌ,F03103,F03103,F03103,1,0,0,112314000:F03103:0:1263
match,default,112324,　黒龍二左衛門７２０ｍｌ,YX0000,YX0000,YX0000,1,0,0,112324000:YX0000:0:1202
match,default,112325,　花垣　純米吟醸７２０ｍｌ,E11311,E11311,E11311,1,0,0,112325000:E11311:0:1370
match,default,112326,　黒龍八十八号７２０ｍｌ,YX0000,YX0000,YX0000,1,0,0,112326000:YX0000:0:1202
match,default,112327,　北の庄辛口（別撰）１．８Ｌ,C05101,C05101,C05101,1,0,0,112327000:C05101:0:1539
match,default,112329,　花垣純米３００ｍｌ,B06205,B06205,B06205,1,0,0,112329000:B06205:0:1370
match,default,112330,　真名鶴純米大吟醸　奏雨７２０ｍｌ,F07204,F07204,F07204,1,0,0,112330000:F07204:0:1679
match,default,112340,　黒龍大吟醸　しずく７２０ｍｌ,I00000,I00000,I00000,1,0,0,112340000:I00000:0:2018
match,default,112341,　永平寺白龍　別誂７２０ｍｌ,H06212,H06212,H06212,1,0,0,112341000:H06212:0:1263
match,default,112349,　越前岬　蔵出し本醸造７２０ｍｌ（箱無）,G06310,G06310,G06310,1,0,0,112349000:G06310:0:1460
match,default,112351,○北の庄純米酒１．８Ｌ,E05202,E05202,E05202,1,0,0,112351000:E05202:0:1539
match,default,112352,○北の庄純米吟醸１．８Ｌ,E05112,E05112,E05112,1,0,0,112352000:E05112:0:1539
match,default,112358,　雲乃井純米東尋坊７２０ｍｌ,G05303,G05303,G05303,1,0,0,112358000:G05303:0:1021
match,default,112396,　越の磯　春夏秋雪越前　純米吟醸７２０ｍｌ,G05305,G05305,G05305,1,0,0,112396000:G05305:0:1825
match,default,112404,　一乃谷大吟醸　暁１．８Ｌ,W06412,W06412,W06412,1,0,0,112404000:W06412:0:1572
match,default,112416,　富久駒本醸造　丸岡城３００ｍｌ,G06402,G06402,G06402,1,0,0,112416000:G06402:0:1166
match,default,112417,　花垣純米大吟醸７２０ｍｌ,E05201,E05201,E05201,1,0,0,112417000:E05201:0:1370
match,default,112419,　福千歳ＳＡＫＵＲＡ　ＲＯＣＫ（さくらロック）７２０ｍｌ,E09309,E09309,E09309,1,0,0,112419000:E09309:0:1512
match,default,112420,　花垣本醸造７２０ｍｌ,E06104,E06104,E06104,1,0,0,112420000:E06104:0:1370
match,default,112421,　花垣米しずく　純米７２０ｍｌ,D08202,D08202,D08202,1,0,0,112421000:D08202:0:1370
match,default,112427,　梵吉平　純米大吟醸１．８Ｌ,W02203,W02203,W02203,1,0,0,112427000:W02203:0:1514
match,default,112433,　畠山酒造雪きらら　純米吟醸７２０ｍｌ,G05407,G05407,G05407,1,0,0,112433000:G05407:0:1202
match,default,112446,　蔵の宿　純米吟醸７２０ｍｌ,F01107,F01107,F01107,1,0,0,112446000:F01107:0:1166
match,default,112448,　一本義辛爽系（からさわ）純米吟醸１．８Ｌ（箱なし）,E10112,E10112,E10112,1,0,0,112448000:E10112:0:1202
match,default,112451,　梵純粋１８０ｍｌ,W04203,W04203,W04203,1,0,0,112451000:W04203:0:1514
match,default,112457,　北の庄　久寿龍　純米吟醸７２０ｍｌ,G06302,G06302,G06302,1,0,0,112457000:G06302:0:1539
match,default,112493,　越前岬　超辛口純米「シュタルク・カイザー」１．８Ｌ　※卸不可,W07106,W07106,W07106,1,0,0,112493000:W07106:0:1460
match,default,112494,　華燭本醸造１．８Ｌ,E09110,E09110,E09110,1,0,0,112494000:E09110:0:1724
match,default,112496,　越前岬　吟雪花　吟醸生貯蔵酒３００ｍｌ,I09104,I09104,I09104,1,0,0,112496000:I09104:0:1460
match,default,112504,　一乃谷生酒３００ｍｌ（弥吉様）,D06201,D06201,D06201,1,0,0,112504000:D06201:0:1572
match,default,112506,　黒龍　九頭龍　逸品１．８Ｌ,W09102,W09102,W09102,1,0,0,112506000:W09102:0:2018
match,default,112509,　一乃谷生酒３００ｍｌ（八重寿し様）,C03104,C03104,C03104,1,0,0,112509000:C03104:0:1572
match,default,112510,　一乃谷本醸造１．８Ｌ（八重寿し様）,C05105,C05105,C05105,1,0,0,112510000:C05105:0:1572
match,default,112512,　一乃谷大吟醸　暁３００ｍｌ,G06401,G06401,G06401,1,0,0,112512000:G06401:0:1572
match,default,112516,　北の庄越前吟醸７２０ｍｌ,G05309,G05309,G05309,1,0,0,112516000:G05309:0:1539
match,default,112517,　一乃谷大吟醸　暁７２０ｍｌ,G05304,G05304,G05304,1,0,0,112517000:G05304:0:1572
match,default,112525,　黒龍　大吟醸　龍１．８Ｌ,YX0000,YX0000,YX0000,1,0,0,112525000:YX0000:0:2018
match,default,112530,　一本義　山田錦７２０ｍｌ,D04206,D04206,D04206,1,0,0,112530000:D04206:0:1202
match,default,112531,　一乃谷蔵１．８Ｌ,E05307,E05307,E05307,1,0,0,112531000:E05307:0:1572
match,default,112532,　一乃谷にごり酒３００ｍｌ,L08203,L08203,L08203,1,0,0,112532000:L08203:0:1572
match,default,112545,　永平寺白龍　純米酒１．８Ｌ,H05104,H05104,H05104,1,0,0,112545000:H05104:0:1263
match,default,112561,　永平寺白龍　純米大吟醸１．８Ｌ,W06107,W06107,W06107,1,0,0,112561000:W06107:0:1263
match,default,112569,　一乃谷純米酒　純１．８Ｌ,F02112,F02112,F02112,1,0,0,112569000:F02112:0:1572
match,default,112572,　花垣　純米にごり酒１．８Ｌ,C06101,C06101,C06101,1,0,0,112572000:C06101:0:1370
match,default,112573,　花垣　純米にごり酒７２０ｍｌ,C08202,C08202,C08202,1,0,0,112573000:C08202:0:1370
match,default,112587,　真名鶴　奥越前氷点囲い　純米酒７２０ｍｌ,E11202,E11202,E11202,1,0,0,112587000:E11202:0:1679
match,default,112597,　黒龍　純吟　いっちょらい７２０ｍｌ,G07407,G07407,G07407,1,0,0,112597000:G07407:0:2018
match,default,112601,　一本義　辛口クラシック７２０ｍｌ（旧金印）,C01206,C01206,C01206,1,0,0,112601000:C01206:0:1202
match,default,112607,　一本義春之純米酒　アラバシリ無濾過生酒７２０ｍｌ　※直送・卸不可,AW0000,AW0000,AW0000,1,0,0,112607000:AW0000:0:1202
match,default,112611,　花垣米しずく　純米酒１．８Ｌ,D02101,D02101,D02101,1,0,0,112611000:D02101:0:1370
match,default,112619,　黒龍　吟醸　いっちょらい７２０ｍｌ,H05105,H05105,H05105,1,0,0,112619000:H05105:0:2018
match,default,112623,　花垣純米にごり酒３００ｍｌ,D08205,D08205,D08205,1,0,0,112623000:D08205:0:1370
match,default,112640,　常山　純米辛口　「超」３００ｍｌ（純米超辛）　※卸不可,L19301,L19301,L19301,1,0,0,112640000:L19301:0:1511
match,default,112641,　一本義春之純米酒　アラバシリ無濾過生酒１．８Ｌ　※直送・卸不可,AW0000,AW0000,AW0000,1,0,0,112641000:AW0000:0:1202
match,default,112643,　花垣山廃純米　無濾過生原酒７２０ｍｌ,AW0000,AW0000,AW0000,1,0,0,112643000:AW0000:0:1370
match,default,112645,　黒龍　吟醸　いっちょらい１．８Ｌ,E08103,E08103,E08103,1,0,0,112645000:E08103:0:2018
match,default,112650,　越前岬　大吟醸３００ｍｌ,F04101,F04101,F04101,1,0,0,112650000:F04101:0:1460
match,default,112656,　越前岬　槽搾り純米酒１．８Ｌ,W06103,W06103,W06103,1,0,0,112656000:W06103:0:1460
match,default,112657,　越前岬　槽搾り純米酒７２０ｍｌ,G05405,G05405,G05405,1,0,0,112657000:G05405:0:1460
match,default,112663,　北の庄吟醸　越前１．８Ｌ,W07115,W07115,W07115,1,0,0,112663000:W07115:0:1539
match,default,112671,　花垣　純米１．８Ｌ,D06104,D06104,D06104,1,0,0,112671000:D06104:0:1370
match,default,112672,　花垣　純米７２０ｍｌ,D05205,D05205,D05205,1,0,0,112672000:D05205:0:1370
match,default,112673,　花垣本醸造１．８Ｌ,D02102,D02102,D02102,1,0,0,112673000:D02102:0:1370
match,default,112688,　北の庄純米酒　勝家３００ｍｌ,G06403,G06403,G06403,1,0,0,112688000:G06403:0:1539
