status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",42490,151268,151268,　白山ワイン　梅スパークリング　７５０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",42494,151361,151361,　能登ワイン　ヤマソーヴィニヨン　７２０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",42496,151370,151370,　能登ワイン　ヤマソービニヨン　３６０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",46084,119731,119731,　雲乃井　純米大吟醸　瑞雲７２０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",46132,152512,152512,　レニャー　シャブリ　サンピエール　７５０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",50416,153744,153744,　デロー　レゼルヴ　赤　７５０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",51470,171880,171880,　梵　ゆずリキュール５００ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",51493,212087,212087,　大塚　ポカリスエット　イオンウォーター９００ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",51541,181021,181021,　宝　本みりん　ペット　１Ｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",52094,119333,119333,　梵　艶　純米大吟醸７２０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",25630,155586,155586,　ベルエポック　’１６　７５０ｍｌ,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",38934,112785,112785,　游　芳醇超辛口　番外山田錦７２０ｍｌ（白龍）,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",38978,159013,159013,　プレミオ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",44272,151688,151688,　マンズワイン　酵母の泡　甲州　３６０ｍｌ,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",48246,152876,152876,　ウィリアムフェーブル　シャブリ　３７５ｍｌ,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",23676,155110,155110,　マルティーニ　アスティ　７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",25535,123390,123390,　２５°田苑　金ラベル９００ｍｌ（麦）,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",25610,155434,155434,　マム　グラン　コルドン　ロゼ７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",25634,155621,155621,　ランソン　ホワイトラベル　セック　７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",25639,155650,155650,　ボッテガ　ゴールド７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",29563,156663,156663,　ＬＬ　シャブリ　ラ　シャンフルーフ　３７５ｍｌ,10,0,10,0,10,,,0,10,,,10
dry,,33633,141039,141039,　サッポロ　黒ラベル　小瓶３３４ｍｌ,329,0,329,319,10,33465,2730,319,10,150,0,10
skipped,"no active NULL/NULL pickable lot",33676,157557,157557,　コートデュローヌルージュ　ルプティアンデソン　７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",35572,111218,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",38996,159132,159132,　シャトー　ブリュンデスパーニュ　エリタージュ　７５０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",39023,223506,223506,　伊藤園　ワンポット緑茶　ティーバック３０Ｐ,10,0,10,0,10,,,0,10,,,10
dry,,40742,241037,241037,　ＭＹ　レモン７２０ｍｌ,42,3,39,29,10,40436,544,32,10,20,2,10
skipped,"no active NULL/NULL pickable lot",44365,171757,171757,　富久駒　一筆啓上　梅の酒５００ｍｌ（クリアケース入）,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",23594,122898,122898,×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",23714,155271,155271,　サントリーポンパドール　マスカット３７５ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",25620,155499,155499,　ニコラフィアット　ヴィンテージ　ブランドブラン　７５０ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",27518,210591,210591,　ドーバー　ビアリッツレモン瓶７００ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",29517,132022,132022,　メーカーズマーク　１Ｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",29525,132067,132067,　ジョニーウォーカー　ブロンド　７００ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",35662,157956,157956,　パラ　ヒメネス　カベルネソーヴィニヨン　オーガニック,9,0,9,0,9,,,0,9,,,9
dry,,38940,143209,143209,　キリン　一番搾り生３ＬＰＥＴ　,443,17,426,417,9,38679,351,434,9,140,5,9
skipped,"no active NULL/NULL pickable lot",40613,161027,161027,　サントリー　ドライジンエクストラ　７２０ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",40726,231629,231629,　キッコーマン　ステーキしょうゆ　トリュフ風味５７０ｇ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",48272,172164,172164,　ソウルマッコリ　ペットボトル　７５０ｍｌ,9,0,9,0,9,,,0,9,,,9
skipped,"no active NULL/NULL pickable lot",27470,155783,155783,　メゾンマム　ＲＳＲＶ　ブランドブラン　２０１５　７５０ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",29622,211331,211331,　メルシャン　スパークリング　アルコールゼロ　白３６０ｍｌ,8,0,8,0,8,,,0,8,,,8
