status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,13448,4,4,222004,222004,　タクマ食品　月の小石チョコレート８０ｇバンドル,3,0,3,7,-4,4,13448,,,
updated,,decrease,decrease,13490,4,4,245036,245036,　ロータス　オリジナル　カラメルビスケット２５Ｐ,20,0,20,24,-4,4,13490,,,
updated,,decrease,decrease,13514,4,4,245330,245330,　ドリトス　ナチョチーズ１２０ｇ,7,0,7,11,-4,4,13514,,,
updated,,decrease,decrease,13543,4,4,262494,262494,　アーラ　カマンベール１００ｇ,12,0,12,16,-4,4,13543,,,
updated,,decrease,decrease,13551,4,4,284114,284114,　ポッポナッツ　味好み２６０ｇ,6,0,6,10,-4,4,13551,,,
updated,,decrease,decrease,13622,4,4,412005,412005,　デキシー　クリアーグラス（パーティー）３１０ｍｌ５個入,1,0,1,5,-4,4,13622,,,
updated,,decrease,decrease,13777,7,7,143047,143047,　サッポロ　エビス　プレミアムブラック３５０ｍｌ,38,0,38,42,-4,4,13777,,,
updated,,decrease,decrease,13782,7,7,143062,143062,○キリン　一番搾り２５０ｍｌ,62,0,62,66,-4,4,13782,,,
updated,,decrease,decrease,13802,7,7,145061,145061,　アサヒ　スタイルフリー　トリプルゼロ５００ｍｌ,154,0,154,158,-4,4,13802,,,
updated,,decrease,decrease,13848,7,7,157125,157125,　ミュレ　ドゥ　グッズ　７５０ｍｌ,4,0,4,8,-4,4,13848,,,
updated,,decrease,decrease,13892,7,7,157618,157618,　シャトーギユボ　プレザンス　７５０ｍｌ,0,0,0,4,-4,4,13892,,,
updated,,decrease,decrease,13931,4,4,185902,185902,　サントリー　－１９６無糖　ダブルレモン７％　３５０ｍｌ,110,0,110,114,-4,4,13931,,,
updated,,decrease,decrease,13935,4,4,185923,185923,　キリン　氷結　九州産ゆず３５０ｍｌ,52,0,52,56,-4,4,13935,,,
updated,,decrease,decrease,13940,4,4,185975,185975,　サントリー　酸化防止剤無添加のおいしいスパークリングワイン　白泡３５０ｍｌ缶,11,0,11,15,-4,4,13940,,,
updated,,decrease,decrease,13941,4,4,185977,185977,　サッポロ　クラフトスパイスソーダ５００ｍｌ,6,0,6,10,-4,4,13941,,,
updated,,decrease,decrease,14011,4,4,245841,245841,　マヨラ　コーヒージョイ　コーヒービスケット３９ｇ,45,0,45,49,-4,4,14011,,,
updated,,decrease,decrease,14028,4,4,246072,246072,　手焼きＴＯＭＺＹ　親鶏ももタタキ炭火焼２４０ｇ,2,0,2,6,-4,4,14028,,,
updated,,decrease,decrease,14055,4,4,284596,284596,　日向屋　こだわり国産　鶏手羽塩焼き３２０ｇ,31,0,31,35,-4,4,14055,,,
