item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf
211371,211371,×キリンゼロハイ　シチリア産レモン３５０ｍｌ,,,,,,,single,C10407
211373,211373,×キリンゼロハイ　グレープフルーツ３５０ｍｌ,,,,,,,single,C10406
211380,211380,　アサヒ　ゼロカク　カシスオレンジテイスト３５０ｍｌ,,,,,,,single,M01103
211418,211418,×くら寿司　シャリコーラ１５０ｍｌ,,,,,,,single,L07103
211577,211577,　川崎飲料　塩レモンサイダー３４０ｍｌ,,,,,,,single,C10307
211771,211771,×コカコーラ　コカコーラ　缶　２５０ｍｌホレカ,,,,,,,single,F06203
211886,211886,　アップルタイザー　瓶７５０ｍｌ,,,,,,,single,G04104
212011,212011,　大塚ファイブミニプラス１００ｍｌ,,,,,,,single,M04204
212033,212033,　大塚マッチ５００ｍｌペット,,,,,,,single,D16204
212055,212055,×キリンアルカリイオンの水５００ｍｌ,,,,,,,single,D16300
212077,212077,　大塚エネルゲン３４０ｍｌ缶,,,,,,,single,M01110
212085,212085,×関西薬品　最強実感　ウコンにおまかせ１００ｍｌ,,,,,,,single,D11104
212291,212291,×大塚マッチボトル缶３００ｍｌ,,,,,,,single,H08209
213008,213008,　サントリー　ニチレイ　アセロラ　リフレッシュ４３０ｍｌ,,,,,,,single,M03309
213011,213011,×ＩＢＪグレープフルーツジュース１００％１９０ｍｌ,,,,,,,single,Z01206
213014,213014,×アサヒ　バヤリースホテルＢＦ　アップル１００１．５Ｌ,,,,,,,single,D14103
213042,213042,×カゴメ１００ＣＡＮ　ホワイトＧＦ１６０ｍｌ,,,,,,,single,K08202
213048,213048,　アサヒ　バヤリース　オレンジ３５０ｍｌ缶,,,,,,,single,M04110
213058,213058,×デルモンテ　１００％アップルジュース１６０ｇ,,,,,,,single,G01403
213095,213095,×ポン　オレンジペット３５０ｍｌ,,,,,,,single,K07303
213101,213101,×カゴメトマトジュース無塩９００ｍｌペット,,,,,,,single,M07206
213110,213110,　三田飲料　ｐｌｕｓ　ヒアルロン酸とコラーゲン　カムカム１Ｌ,,,,,,,single,G02419
213124,213124,×キリンオレンジ２００ｍｌ瓶,,,,,,,single,C07102
213140,213140,　サントリー　ＣＣレモン１．５Ｌペット,,,,,,,single,D15307
213153,213153,　ジューシーピンクグレープフルーツ１Ｌパック,,,,,,,single,L09202
213168,213168,　伊藤園充実野菜９３０ｇ,,,,,,,single,M05403
213196,213196,×コカコーラ　Ｑｏｏ　りんご１．５Ｌ,,,,,,,single,K07306
213221,213221,　伊藤園１日分の野菜ベジタブル１００２００ｍｌ,,,,,,,single,M01302
213259,213259,　不二家ネクターミックス３５０ｍｌ,,,,,,,single,M04101
214020,214020,×コカコーラ　ジョージア　エメラルドＭＢ　ブラック１８５ｇマルチ,,,,,,,single,H08208
214021,214021,　ダイドーブレンド１８５ｇ,,,,,,,single,M01405
214048,214048,　キリン　午後の紅茶　ミルクティー１．５Ｌ,,,,,,,single,M02206
214056,214056,×ＵＣＣ職人の珈琲　アイスコーヒー　低糖９００ｍｌ,,,,,,,single,M01103
214083,214083,　キリンファイア　挽きたて微糖１８５ｇ,,,,,,,single,N01103
214091,214091,　ＵＣＣ　ブラック無糖１８５ｇ,,,,,,,single,M03304
214098,214098,　アサヒ　ワンダ　プレミアムゼロ１８５ｇ,,,,,,,single,M01108
214193,214193,×アサヒワンダ　ゴールドブラック１８５ｇ缶,,,,,,,single,M08410
215052,215052,　キリン烏龍茶　極烏＜ごくう＞２Ｌ,,,,,,,single,D15300
215064,215064,　コカコーラ綾鷹　４４０ｍｌ加温ＰＥＴ,,,,,,,single,M05409
215087,215087,　アサヒ　十六茶２Ｌペット,,,,,,,single,M01106
215157,215157,　大塚ジャワティーストレート　レッド５００ｍｌペット,,,,,,,single,M07208
215227,215227,×神戸茶房烏龍茶２ＬＰＥＴ,51946,0,0,,,,single,AA0052
215231,215231,×神戸茶房緑茶２ＬＰＥＴ,51966,0,0,,,,single,AA0051
215232,215232,　伊藤園　おーいお茶　緑茶４６０ｍｌ自販機用ＰＥＴ,,,,,,,single,B03102
215296,215296,　伊藤園　おーいお茶　緑茶１９０ｍｌ缶,,,,,,,single,K08304
215298,215298,×コカコーラ爽健美茶　すっきりブレンド５２５ｍｌ,,,,,,,single,D10204
215343,215343,×ＩＢＪウーロン茶３４０ｇ,,,,,,,single,D16101
215358,215358,　伊藤園　伝承の健康茶　そば茶２Ｌ,,,,,,,single,C05104
215364,215364,　ＩＢＪ緑茶５００ｍｌ,,,,,,,single,Z00105
216031,216031,×サントリー日本の天然水３６０ｍｌ瓶,,,,,,,single,B15106
223035,223035,　ネスレミロ　袋２４０ｇ,,,,,,,single,I02207
231100,231100,　ＱＦ　フライドレンコン１００ｇ,,,,,,,single,I01406
231156,231156,　日清　フラワー１Ｋｇ,,,,,,,single,I10308
231641,231641,　ハウス　ねりからし１７５ｇ,,,,,,,single,I01413
231867,231867,　ソル・デル・リマリ　エクストラヴァージンオリーブオイル５００ｍｌ,,,,,,,single,I10209
241123,241123,　中村商店　グリーンプラムシロップ６００,,,,,,,single,G03307
246017,246017,　ＰＩＺＺＡＲＥＶＯ　極　マルゲリータ１枚,52827,0,0,,,,single,YB0000
246600,246600,×ニチレイ本和風唐揚げ１Ｋｇ,,,,,,,single,Y02200
247185,247185,　ヤマザキビスケットルヴァン　全粒粉クラッカーＳ３９枚,,,,,,,single,I01205
249543,249543,　泊　業務用福神漬２Ｋｇ,,,,,,,single,I01304
249984,249984,　ベストわさび,,,,,,,single,I10401
621044,621044,　オリベート　スパゲティ　ナポリタン３００ｇ,,,,,,,single,YB2400
621045,621045,　オリベートスパゲティ　ミートソース３００ｇ,,,,,,,single,YB2400
621046,621046,　オリベート　スパゲティカルボナーラソース３００ｇ,,,,,,,single,YB2400
631683,631683,　エバラ食品　タコライスソース１Ｌ,,,,,,,single,I10206
632309,632309,　日清製粉　カメリア　チャック付１Ｋｇ,51604,0,0,,,,single,I02206
632795,632795,　日本製粉　韓国お好み焼きミックス１Ｋｇ,52242,0,0,,,,single,I11410
633570,633570,　アサノ食品　五目釜めしの素２３０ｇ,,,,,,,single,I10306
